"day";"toptags"
"2016-03-07";"trump2016,cpac2016,christiansfortrump,hillaryclinton,sov,goinghogwild,tcot,donaldtrumpjr,islamistheproblem,communityacademy,kasich,mississippi"
"2016-03-08";"voav,mustread,cruzcrew,rubio,feelthebern,benghazi,internationalw,bl"
"2016-03-09";"nevertrump,flprimary,islamistheproblem,iftrumpwins,alwaystrump,makeamericagreatagain,rt,benghazi,negativeads,iran,proud,choosecruz,staywoke"
"2016-03-10";"demdebate,demdebatemiami,gopdebate,hillaryclinton,trump,hillary,trumptrain,tcot,bernie,flint,bokoharam,voting,makeamericagreatagain,pjn,cruzcrew,pjnet,tedcruz,jets,racism,nologic"
"2016-03-11";"pjnet,tedcruz,wakeupamerica,ccot,wethepeople,teaparty,crconvention,tcot,2a,benghazi,defundpp,impeachobama,catholic,isis,tgdn,rnr,gop,oas2014,cosproject,race,obama,jesus,rednationrising,guncontrol,cruzcrew,teapartynews"
"2016-03-12";"nocybercensorship,cybercensorship,trumprallychi,freespeech,cruz,freedomofspeech,tcot,trum,nativeamerican,anthonycage,g4vusa,teapartynews,dmniggashowtheydmyou,twibbon,texas,trump,badcops,racists,blacktolive,internetfreedom,sanbernardinoshooting"
"2016-03-13";"blacktwitter,makeamericagreatagain,blacklivesmatter"
"2016-03-14";"hillaryforprison,pennsylvania,tcot,patriot,knowthyself,blacklivesmatter,liveonk2"
"2016-03-15";"antipolicebrutalityday,policebrutality,blacklivesmatter,teapartynews,stopkillingus,badcops,primaryday,teaparty,florida"
"2016-03-16";"blackpressday,hallelujah,teapartynews,yankees,blackwomenshistorymonth,gop,blackpress,freedomofinformation,orioles,blacklivesmatter,veterans"
"2016-03-17";"pjnet,tedcruz,2a,blacktwitter,ccot,cruzcrew,defundpp,godbless,obama,blacklivesmatter,wakeupamerica,13hours,scprimary,tcot,cosproject,renewus,teaparty,crconvention,2adefenders,rebootliberty,p2,chicago,constitution,guncontrol,suicide,palestine,bc2dc16,cncnet,wethepeople,gop,vegas,tlot,goptownhall,ukraine,trusted,bringbackreagan,nohearingsnov,haarp,fridaynightlights,europe,blackowned,stpatricksday,patriot,nfl,alphaepsilonpi,capcom,conservatives,obamashutdown,kellyfile,nobama,whitegenocide,uniteblue,1,electiledysfunction,loc,cia,saudikindness,assimilate,benghazi,laquanmcdonald,isis,gunsense,articlev,dependency,justicescalia,hadenoughyet,truth,staywoke,termlimits,idiots,catholic"
"2016-03-18";"supremesacrificeday,su,nyfd,sup,teaparty"
"2016-03-19";"america,trump,eu,appalachiantrail,parenting,tcot,trump2016,senatedoyourjob,endofmoney,worldchampion,peeweesbigholiday,a,palin,baselworld2016,pjnet,policestate"
"2016-03-20";"indiakager"
"2016-03-21";"teaparty,ig,hillaryforprison,dubai,swag,fucktrump,lovetwitter,kareem,formationweek,vets,aipac2016"
"2016-03-22";"islamkills,stopislam,brussels,islamistheproblem,prayforbrussels,refugees,syrianrefugees,norefugeeswelcome,isis,obama,p,bruxelles,tcot,br,quebec,parisattacks,muslimsarenotterorist,abaaoud,america,americansniper,potus,islam,belgium,paris,usa,brusselsattacks,banislam,stopobama,religionofpeace,brusselsattack,refugeeswelcome,wilders,brussel,wecoulddothisallday"
"2016-03-23";"tcot,cruzcrew,brussels,utahcaucus,humanrights,president,2a,ccot,trump,arizonaprimary,voterfraud,castros,nostradonald,cruzcre,wakeupamerica,pjnet,c,tedcruz,nevertrump,cosproject,refugeesnotwelcome,trumpthegreatunifier,rt,creepycruz,religionsofpeace,usfreedomarmy"
"2016-03-24";"teapartypatriot,hillaryforprison2016,nyr,oregonstandoff,isis,democraps,hillary,teaparty,brussels,demtownhall"
"2016-03-25";"selmatomontgomery1965,hillaryforprison2016,shoutout,teaparty,azprimary"
"2016-03-26";"onhere"
"2016-03-27";"wakeupamerica,rt,pjnet,rednationrising,wakeupam,2a,iowacaucus,wakeupa,hillaryclinton,jenncruz,obama,repealobamacare,istandwithisrael,ccot,america,trump,wake,libtards,blackhistorymonth,fundamentalchange,gop,wa,superbowl,iowacaucusresults,irandeal"
"2016-03-28";"tobehonestijust,thingsthatdidntbreakme,orioles,ifiwerebatman,cornwall,bdaydinner"
"2016-03-29";"tcot,cruzsexscandal,choosecruz,shtf,quote,john,wiprimary,ca,wisconsin,trumpsuperpowers,teapartynews,dk,conservative,cubanmistresscrisis,w4g,trump2016,2a,coulter,christians,rememberthis,bluelivesmatter,isis,ccot,wethepeople,sandiego"
"2016-03-30";"39,muslims,teapartynews,painting"
